Stock,Trade_Date,direction,Entry_Price,Exit_Price,Exit_Type,Exit_Time,Gap,Gap_ATR,Alpha,ATR_14,Prev_Entropy_Norm,Stop_Loss,Raw_Ret_%,Net_Ret_%,PnL/Share,Is_Win,Trades_Today,Capital_Alloc,Shares,PnL_₹,Direction
ADANIENSOL,2021-05-25,-1,1575.0,1526.5,gap_fill,2021-05-25 11:28:00,43.40000000000009,0.6872914427916988,-0.6872914427916988,63.146428571428565,0.24941167016037066,1732.8660714285713,3.0794,2.9394,48.5,True,1,100000.0,63.0,2939.3650793650795,SHORT
ADANIENSOL,2021-05-26,1,1378.35,1400.0,time,2021-05-26 15:00:00,-35.200000000000045,-0.5018841022507391,0.5018841022507391,70.13571428571427,0.0,1203.0107142857141,1.5707,1.4307,21.65000000000009,True,1,100000.0,72.0,1430.7186128341925,LONG
ADANIENSOL,2021-06-15,1,1446.4,1446.4,time,2021-06-15 15:00:00,-76.09999999999991,-1.0700010043185684,1.0700010043185684,71.12142857142858,0.0,1268.5964285714285,0.0,-0.14,0.0,False,3,33333.333333333336,23.0,-46.66666666666667,LONG
ADANIENSOL,2021-06-16,1,1374.1,1374.1,time,2021-06-16 15:00:00,-72.30000000000018,-1.0129090363254305,1.0129090363254305,71.37857142857142,0.0,1195.6535714285715,0.0,-0.14,0.0,False,3,33333.333333333336,24.0,-46.66666666666667,LONG
ADANIENSOL,2021-06-17,1,1305.4,1305.4,time,2021-06-17 15:00:00,-68.69999999999982,-0.9921089277425317,0.9921089277425317,69.24642857142858,0.0,1132.2839285714285,0.0,-0.14,0.0,False,3,33333.333333333336,25.0,-46.66666666666667,LONG
ADANIENSOL,2021-06-18,1,1240.15,1240.15,time,2021-06-18 15:00:00,-65.25,-0.9267995738852535,0.9267995738852535,70.40357142857142,0.0,1064.1410714285716,0.0,-0.14,0.0,False,3,33333.333333333336,26.0,-46.66666666666667,LONG
ADANIENSOL,2021-06-21,1,1178.15,1240.15,gap_fill,2021-06-21 12:19:00,-62.0,-0.869478112791746,0.869478112791746,71.30714285714285,0.0,999.882142857143,5.2625,5.1225,62.0,True,3,33333.333333333336,28.0,1707.495932889134,LONG
ADANIENSOL,2021-06-22,1,1334.0,1302.15,gap_fill,2021-06-22 09:20:00,-41.15000000000009,-0.5319482917820879,0.5319482917820879,77.35714285714286,0.1115549012633777,1140.607142857143,-2.3876,-2.5276,-31.84999999999991,False,3,33333.333333333336,24.0,-842.5187406296828,LONG
ADANIENSOL,2021-06-28,1,1150.5,1192.9,gap_fill,2021-06-28 11:24:00,-58.90000000000009,-0.7174489929090369,0.7174489929090369,82.09642857142855,0.0,945.2589285714287,3.6854,3.5454,42.40000000000009,True,3,33333.333333333336,28.0,1181.7847312762594,LONG
ADANIENSOL,2021-07-01,1,1006.5,1006.5,time,2021-07-01 15:00:00,-52.950000000000045,-0.6216091568487702,0.6216091568487702,85.18214285714284,0.0,793.5446428571429,0.0,-0.14,0.0,False,2,50000.0,49.0,-70.0,LONG
ADANIENSOL,2021-07-05,1,908.4,908.4,time,2021-07-05 15:00:00,-47.80000000000007,-0.6054464851171638,0.6054464851171638,78.94999999999997,0.0,711.0250000000001,0.0,-0.14,0.0,False,3,33333.333333333336,36.0,-46.66666666666667,LONG
ADANIENSOL,2021-07-06,1,863.0,908.4,gap_fill,2021-07-06 09:46:00,-45.39999999999998,-0.5901578458681521,0.5901578458681521,76.92857142857142,0.0,670.6785714285714,5.2607,5.1207,45.39999999999998,True,3,33333.333333333336,38.0,1706.9061413673226,LONG
ADANIENSOL,2021-07-22,1,880.25,919.65,gap_fill,2021-07-22 14:53:00,-44.64999999999998,-0.8959438153934353,0.8959438153934353,49.835714285714275,0.0,755.6607142857143,4.476,4.336,39.39999999999998,True,3,33333.333333333336,37.0,1445.3337120136318,LONG
ADANIENSOL,2021-08-13,1,973.75,957.15,gap_fill,2021-08-13 09:20:00,-28.149999999999977,-0.6117190531625915,0.6117190531625915,46.01785714285716,0.2806096507953012,858.7053571428571,-1.7047,-1.8447,-16.600000000000023,False,1,100000.0,102.0,-1844.7496790757405,LONG
ADANIENSOL,2021-08-20,-1,1125.1,1128.95,time,2021-08-20 15:00:00,23.799999999999955,0.5069608216051719,-0.5069608216051719,46.94642857142859,0.0,1242.4660714285715,-0.3422,-0.4822,-3.8500000000001364,False,2,50000.0,44.0,-241.09590258644286,SHORT
ADANIENSOL,2021-08-23,-1,1172.0,1179.6,time,2021-08-23 15:00:00,28.049999999999955,0.6022544283413838,-0.6022544283413838,46.57500000000001,0.24823787841608455,1288.4375,-0.6485,-0.7885,-7.599999999999909,False,2,50000.0,42.0,-394.23208191125894,SHORT
ADANIENSOL,2021-08-24,-1,1238.55,1238.55,time,2021-08-24 15:00:00,58.950000000000045,1.250359821225666,-1.250359821225666,47.146428571428565,0.0,1356.4160714285713,0.0,-0.14,0.0,False,3,33333.333333333336,26.0,-46.66666666666667,SHORT
ADANIENSOL,2021-08-25,-1,1300.45,1300.45,time,2021-08-25 15:00:00,61.90000000000009,1.2487031700288203,-1.2487031700288203,49.57142857142857,0.0,1424.3785714285714,0.0,-0.14,0.0,False,3,33333.333333333336,25.0,-46.66666666666667,SHORT
ADANIENSOL,2021-08-26,-1,1365.45,1365.45,time,2021-08-26 15:00:00,65.0,1.2800675200450133,-1.2800675200450133,50.77857142857143,0.0,1492.3964285714287,0.0,-0.14,0.0,False,3,33333.333333333336,24.0,-46.66666666666667,SHORT
ADANIENSOL,2021-08-27,-1,1433.7,1365.45,gap_fill,2021-08-27 09:35:00,68.25,1.3159344442914198,-1.3159344442914198,51.86428571428572,0.0,1563.3607142857143,4.7604,4.6204,68.25,True,3,33333.333333333336,23.0,1540.1367092139221,SHORT
ADANIENSOL,2021-09-01,-1,1659.6,1659.6,time,2021-09-01 15:00:00,79.0,1.2290937378451965,-1.2290937378451965,64.27499999999999,0.14848001296106944,1820.2875,0.0,-0.14,0.0,False,2,50000.0,30.0,-70.0,SHORT
ADANIENSOL,2021-09-15,-1,1979.75,1957.05,time,2021-09-15 15:00:00,52.0,0.5284169267619946,-0.5284169267619946,98.40714285714287,0.35147435859890297,2225.7678571428573,1.1466,1.0066,22.700000000000045,True,3,33333.333333333336,16.0,335.53647346045454,SHORT
ADANIENSOL,2021-09-17,1,1820.35,1820.35,time,2021-09-17 15:00:00,-103.55000000000018,-1.0145211518947497,1.0145211518947497,102.06785714285715,0.225377621913283,1565.180357142857,0.0,-0.14,0.0,False,2,50000.0,27.0,-70.0,LONG
ADANIENSOL,2021-09-20,1,1729.35,1729.35,time,2021-09-20 15:00:00,-91.0,-0.9126074498567334,0.9126074498567334,99.71428571428574,0.0,1480.0642857142857,0.0,-0.14,0.0,False,3,33333.333333333336,19.0,-46.66666666666667,LONG
